Rank,symbol,name,exchange,industry,market_cap,z_score_rank,m_score_rank,f_score_rank,pe_ratio_rank,forward_pe_rank,forward_growth_rank,pb_ratio_rank,asset_growth_rank,ret_1y_rank,off_max_15_rank,roe_rank,basic_nri_pct_diff_rank,eps_rsd_rank,eps_gr_rank,ss_demand_rank,ss_util_rank,accruals_rank,roa_rank,issuance_rank,noa_rank,profitability_rank,beta_rank
1,VLGEA,Village Super Market Inc,NAS (USA),Retail - Defensive,473,0.093397049,0.079724801,0.483425629,0.784212239,0.647180058,,0.222326839,0.002101139,0.435360814,0.488408548,0.049458334,0.293909411,0.990929643,0.068266331,0.498180361,0.050793314,0.048496592,0.037087184,0.737335709,0.132039984,0.445944379,0.263109644
2,BANC,Banc of California Inc,NYSE (USA),Banks,445,0.014967222,,0.006360133,0.987164334,0.632021062,,0.08631627,0.202447527,0.079864931,0.95478907,0.123113307,0.623952858,0.839945889,,0.234560435,0.23121665,,0.071096911,0.341084363,,,0.199119912
3,HRTG,Heritage Insurance Holdings Inc,NYSE (USA),Insurance - Property & Casualty,622,0.144801925,,,0.775874731,0.135151886,,0.05685263,0.156265431,0.461942675,0.687700982,0.268168222,0.881483276,0.094979279,,0.434875707,0.276691182,,0.26742348,0.186763049,,,
4,HTA,Healthcare Trust of America Inc,NYSE (USA),REITs,3398,0.007639911,0.443355108,0.091736083,0.487432391,0.56413776,,0.139773704,0.643252197,0.085567792,0.026847257,0.215705952,0.165061497,0.043864573,,0.872573235,0.850218209,0.981676411,0.030754344,0.160810231,0.571105593,0.020095102,0.035936927
5,DYN,Dynegy Inc,NYSE (USA),Utilities - Independent Power Producers,4111,0.010840053,0.091488071,0.070611322,,0.5155992,,0.074806928,0.207449185,0.145133651,0.250593252,0.138710576,,0.762672786,,0.191679499,0.720226731,0.559937182,0.364380806,0.459568684,0.496678358,0.547055202,0.034470114
6,REI,Ring Energy Inc,AMEX (USA),Oil & Gas - E&P,294,0.05462533,,0.606973297,0.136284116,0.184768447,,0.797134814,0.239152231,0.226164418,0.221433592,0.023279907,0.039808345,0.773468839,,,,0.063231861,0.655035216,0.891892477,0.139663214,0.038287519,0.068206821
7,EGBN,Eagle Bancorp Inc,NAS (USA),Banks,1136,0.140109641,,0.230513002,0.982725325,0.514589205,,0.675591752,0.516606929,0.058758427,0.062960961,0.296524471,0.170909126,0.915075174,0.035594902,0.362934768,0.107596634,,0.148676933,0.53358166,,,0.257609094
8,ASPX,Auspex Pharmaceuticals Inc,NAS (USA),Drug Manufacturers,3204,0.119257731,,,,0.675858549,,0.10585539,0.146660889,0.576706588,0.207690166,0.167757727,,0.335065116,,0.423265484,0.571674097,0.724115934,0.15851088,0.463930442,0.095338198,0.016928811,
9,UTEK,Ultratech Inc,NAS (USA),Semiconductors,488,0.098440969,0.09157669,0.221860579,,0.394964476,,0.551892401,0.418734326,0.297564103,0.111217823,0.957693824,,0.083693918,,0.174184465,0.261957096,0.032401421,0.255256362,0.546578145,0.325942214,0.748091851,0.214888155
10,MKTO,Marketo Inc,NAS (USA),Application Software,1171,0.204905656,,,,0.100383144,,0.729826896,0.013742474,0.168168295,0.987894581,0.109624104,,0.286507711,,0.442396307,0.622228823,0.161433278,0.028419243,0.115818522,0.385267995,0.695073558,0.125045838
11,ATHN,AthenaHealth Inc,NAS (USA),Application Software,4641,0.313477333,0.188034664,0.127256457,,0.102994728,,0.323064799,0.187940497,0.089380797,0.007507437,0.5812214,0.004713562,0.183922243,,0.752974273,0.583897983,0.665600713,0.386199859,0.037345153,0.73745216,0.030370157,0.868353502
12,OPWR,Opower Inc,NYSE (USA),Application Software,523,0.709734283,,,,0.016087194,,0.337972325,0.077546504,0.402016472,0.115042126,0.468178828,,0.225418354,,0.148141028,0.065780714,0.199481075,0.092971261,0.864907753,0.988092902,0.183516306,
13,PMT,PennyMac Mortgage Investment Trust,NYSE (USA),REITs,1585,0.101761101,,0.132936491,0.381342961,0.430674288,,0.269126025,0.748206454,0.019727214,0.3797057,0.440282233,0.280632879,0.075596227,0.139823996,0.750493704,0.121357508,0.856091294,0.603483022,0.584639845,0.045452127,0.120791239,0.112944628
14,OWW,Orbitz Worldwide Inc,NYSE (USA),Travel & Leisure,1310,0.339435276,0.978422592,0.130105665,0.628919251,0.3909491,,0.610134838,0.540257211,0.234889049,0.57158914,0.360270163,0.094923294,0.238114935,,0.008756749,0.24298082,0.070646724,0.052927292,0.65183025,0.096091994,0.30121883,0.306197286
15,LEAF,Springleaf Holdings Inc,NYSE (USA),Credit Services,5988,0.370315113,,0.650865827,0.379866617,0.628790831,,0.088715427,0.094246119,0.254704426,0.603561656,0.000265172,,0.567968278,,0.100422594,0.352282925,,0.562554947,0.00855732,,,
16,UFCS,United Fire Group Inc,NAS (USA),Insurance - Property & Casualty,788,0.008660928,,0.017919374,0.59172264,0.233800824,,0.259018315,0.374361043,0.259703034,0.502043308,0.701911817,0.209245361,0.245094014,,0.61511398,0.343486855,,0.855042981,0.239990231,,,0.081591492
17,OSK,Oshkosh Corp,NYSE (USA),Truck Manufacturing,3761,0.507804659,0.68334183,0.1627476,0.74330748,0.80676744,,0.137370998,0.118666828,0.970048672,0.002371228,0.007863674,0.171413336,0.060585619,,0.054297391,0.227680122,0.048189311,0.373622221,0.471400305,0.425493153,0.170325141,0.874587459
18,DRH,Diamondrock Hospitality Co,NYSE (USA),REITs,2781,0.424156941,0.702404614,0.28959073,0.881752086,0.008203632,,0.949773961,0.288175018,0.030775926,0.363084234,0.17040864,0.102166375,0.196627176,,0.901997728,0.005419718,0.224767495,0.127333159,0.657424452,0.410538489,0.052900804,0.453061973
19,DLB,Dolby Laboratories Inc,NYSE (USA),Entertainment,3911,0.400509649,0.020349549,0.48430655,0.154640904,0.089935538,0.177023869,0.467337912,0.580816844,0.728608594,0.072395107,0.171509528,0.407320106,0.262165747,0.127314847,0.303355338,0.471744469,0.91515713,0.307235733,0.333792542,0.202670432,0.363268285,0.166666667
20,ARCP,American Realty Capital Properties Inc,NAS (USA),REITs,8319,0.274350621,0.540360342,0.075243591,,0.78561878,,0.315757052,0.503412357,0.024846487,0.130740031,0.170929114,,0.177474504,,0.324510743,0.038368539,0.346503254,0.92857949,0.179740747,0.691052622,0.525228818,0.060872754
21,CSLT,Castlight Health Inc,NYSE (USA),Application Software,688,0.039242497,,,,0.502184037,,0.840638027,0.208247689,0.566314913,0.002825296,0.054034362,,0.272583432,,0.017492207,0.250338862,0.340474753,0.301126525,0.864910307,0.246363607,0.585324426,
22,AMT,American Tower Corp,NYSE (USA),REITs,37679,0.502416221,0.199272237,0.040340063,0.296550141,0.554237755,,0.324637807,0.390598206,0.624794441,0.187446283,0.408809851,0.179903744,0.997730772,,0.006987038,0.073635476,0.153795528,0.103253766,0.508479835,0.605561203,0.478039151,0.117895123
